engine_version,strategy_mode,config,total_trades,wins,losses,win_rate_pct,total_pl,final_equity,return_pct,max_dd_pct,pl_per_trade,score,db_path,risk_pct,sl_atr_mult,rr,avg_sl_pips,avg_tp_pips,daily_max_losses
v1_backtest_atr,FULL,FULL_R0.01_ATR2.25_RR2.0_DL3,1126,369,757,32.77,-9741.54,258.46,-97.42,97.69,-8.6515,-0.9972,,0.01,2.25,2.0,6.54,13.07,3
v1_backtest_atr,FULL,FULL_R0.01_ATR2.25_RR2.5_DL1,594,165,429,27.78,-8536.64,1463.36,-85.37,86.54,-14.3715,-0.9864,,0.01,2.25,2.5,6.55,16.37,1
v1_backtest_atr,FULL,FULL_R0.01_ATR2.25_RR2.5_DL2,903,250,653,27.69,-9505.6,494.4,-95.06,95.76,-10.5267,-0.9927,,0.01,2.25,2.5,6.67,16.68,2
v1_backtest_atr,FULL,FULL_R0.01_ATR2.25_RR2.5_DL3,1052,297,755,28.23,-9659.48,340.52,-96.59,97.2,-9.182,-0.9937,,0.01,2.25,2.5,6.6,16.51,3
v1_backtest_atr,FULL,FULL_R0.01_ATR2.25_RR3.0_DL1,553,137,416,24.77,-8170.29,1829.71,-81.7,82.99,-14.7745,-0.9845,,0.01,2.25,3.0,6.58,19.73,1
v1_backtest_atr,FULL,FULL_R0.01_ATR2.25_RR3.0_DL2,833,201,632,24.13,-9409.08,590.92,-94.09,94.44,-11.2954,-0.9963,,0.01,2.25,3.0,6.73,20.18,2
v1_backtest_atr,FULL,FULL_R0.01_ATR2.25_RR3.0_DL3,965,236,729,24.46,-9594.73,405.27,-95.95,96.25,-9.9427,-0.9969,,0.01,2.25,3.0,6.7,20.1,3
v1_backtest_atr,FULL,FULL_R0.01_ATR2.5_RR1.5_DL1,651,253,398,38.86,-8484.91,1515.09,-84.85,85.05,-13.0337,-0.9977,,0.01,2.5,1.5,7.42,11.13,1
v1_backtest_atr,FULL,FULL_R0.01_ATR2.5_RR1.5_DL2,991,384,607,38.75,-9495.38,504.62,-94.95,95.05,-9.5816,-0.999,,0.01,2.5,1.5,7.38,11.07,2
v1_backtest_atr,FULL,FULL_R0.01_ATR2.5_RR1.5_DL3,1135,443,692,39.03,-9660.02,339.98,-96.6,96.67,-8.511,-0.9993,,0.01,2.5,1.5,7.33,10.99,3
v1_backtest_atr,FULL,FULL_R0.01_ATR2.5_RR1.75_DL1,617,211,406,34.2,-8628.63,1371.37,-86.29,86.68,-13.9848,-0.9955,,0.01,2.5,1.75,7.36,12.89,1
v1_backtest_atr,FULL,FULL_R0.01_ATR2.5_RR1.75_DL2,954,328,626,34.38,-9538.8,461.2,-95.39,95.52,-9.9987,-0.9986,,0.01,2.5,1.75,7.44,13.02,2
v1_backtest_atr,FULL,FULL_R0.01_ATR2.5_RR1.75_DL3,1094,379,715,34.64,-9695.52,304.48,-96.96,97.01,-8.8625,-0.9995,,0.01,2.5,1.75,7.39,12.93,3
v1_backtest_atr,FULL,FULL_R0.01_ATR2.5_RR2.0_DL1,595,187,408,31.43,-8499.95,1500.05,-85.0,85.65,-14.2856,-0.9924,,0.01,2.5,2.0,7.47,14.95,1
v1_backtest_atr,FULL,FULL_R0.01_ATR2.5_RR2.0_DL2,923,295,628,31.96,-9423.4,576.6,-94.23,94.7,-10.2095,-0.9951,,0.01,2.5,2.0,7.51,15.02,2
v1_backtest_atr,FULL,FULL_R0.01_ATR2.5_RR2.0_DL3,1064,343,721,32.24,-9605.91,394.09,-96.06,96.26,-9.0281,-0.9979,,0.01,2.5,2.0,7.47,14.95,3
v1_backtest_atr,FULL,FULL_R0.01_ATR2.5_RR2.5_DL1,563,156,407,27.71,-8113.25,1886.75,-81.13,82.51,-14.4107,-0.9833,,0.01,2.5,2.5,7.31,18.28,1
v1_backtest_atr,FULL,FULL_R0.01_ATR2.5_RR2.5_DL2,844,224,620,26.54,-9448.85,551.15,-94.49,94.99,-11.1953,-0.9947,,0.01,2.5,2.5,7.46,18.66,2
v1_backtest_atr,FULL,FULL_R0.01_ATR2.5_RR2.5_DL3,972,264,708,27.16,-9565.67,434.33,-95.66,96.18,-9.8412,-0.9946,,0.01,2.5,2.5,7.53,18.82,3
v1_backtest_atr,FULL,FULL_R0.01_ATR2.5_RR3.0_DL1,525,126,399,24.0,-8025.46,1974.54,-80.25,81.51,-15.2866,-0.9846,,0.01,2.5,3.0,7.28,21.85,1
v1_backtest_atr,FULL,FULL_R0.01_ATR2.5_RR3.0_DL2,785,176,609,22.42,-9483.04,516.96,-94.83,95.09,-12.0803,-0.9973,,0.01,2.5,3.0,7.51,22.52,2
v1_backtest_atr,FULL,FULL_R0.01_ATR2.5_RR3.0_DL3,896,202,694,22.54,-9645.2,354.8,-96.45,96.62,-10.7647,-0.9983,,0.01,2.5,3.0,7.63,22.89,3
